"Provider ID","Hospital name","Address","City","State","ZIP Code","County name","Phone number","Payment measure name","Payment measure ID","Payment category","Denominator","Payment","Lower estimate","Higher estimate","Payment footnote","Value of care display name","Value of care display ID","Value of care category","Value of care footnote","Measure start date","Measure end date"
"340084","CAROLINAS HEALTH CARE SYSTEM ANSON","2301 US HIGHWAY 74 WEST","WADESBORO","NC","28170","ANSON","7046945131","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340084","CAROLINAS HEALTH CARE SYSTEM ANSON","2301 US HIGHWAY 74 WEST","WADESBORO","NC","28170","ANSON","7046945131","Payment for heart failure patients","PAYM_30_HF","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340084","CAROLINAS HEALTH CARE SYSTEM ANSON","2301 US HIGHWAY 74 WEST","WADESBORO","NC","28170","ANSON","7046945131","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2013","03/31/2016"
"340084","CAROLINAS HEALTH CARE SYSTEM ANSON","2301 US HIGHWAY 74 WEST","WADESBORO","NC","28170","ANSON","7046945131","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","41","$19,534","$16,705","$22,184","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","66","$15,828","$13,926","$17,876","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","30","$23,532","$20,915","$26,447","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","167","$16,540","$15,028","$18,000","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340087","THE MCDOWELL HOSPITAL","430 RANKIN DRIVE P O BOX 730","MARION","NC","28752","MCDOWELL","8286595000","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340087","THE MCDOWELL HOSPITAL","430 RANKIN DRIVE P O BOX 730","MARION","NC","28752","MCDOWELL","8286595000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","116","$16,096","$14,483","$17,902","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340087","THE MCDOWELL HOSPITAL","430 RANKIN DRIVE P O BOX 730","MARION","NC","28752","MCDOWELL","8286595000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2013","03/31/2016"
"340087","THE MCDOWELL HOSPITAL","430 RANKIN DRIVE P O BOX 730","MARION","NC","28752","MCDOWELL","8286595000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","243","$15,531","$14,349","$16,712","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","SMITHFIELD","NC","27577","JOHNSTON","9199348171","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","131","$23,848","$21,516","$26,344","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","SMITHFIELD","NC","27577","JOHNSTON","9199348171","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","454","$14,920","$14,006","$15,855","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","SMITHFIELD","NC","27577","JOHNSTON","9199348171","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","180","$25,960","$24,510","$27,445","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","SMITHFIELD","NC","27577","JOHNSTON","9199348171","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","591","$17,804","$16,944","$18,659","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340091","MOSES H CONE MEMORIAL HOSPITAL, THE","1200 N ELM ST","GREENSBORO","NC","27401","GUILFORD","3368327000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","580","$19,980","$19,016","$21,084","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340091","MOSES H CONE MEMORIAL HOSPITAL, THE","1200 N ELM ST","GREENSBORO","NC","27401","GUILFORD","3368327000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","1,359","$15,362","$14,782","$15,945","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340091","MOSES H CONE MEMORIAL HOSPITAL, THE","1200 N ELM ST","GREENSBORO","NC","27401","GUILFORD","3368327000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","1,376","$21,431","$21,019","$21,868","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Better complications and lower payment","","04/01/2013","03/31/2016"
"340091","MOSES H CONE MEMORIAL HOSPITAL, THE","1200 N ELM ST","GREENSBORO","NC","27401","GUILFORD","3368327000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","1,524","$16,081","$15,608","$16,570","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340096","LEXINGTON MEMORIAL HOSPITAL INC","250 HOSPITAL DRIVE PO BOX 1817","LEXINGTON","NC","27293","DAVIDSON","3362485161","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340096","LEXINGTON MEMORIAL HOSPITAL INC","250 HOSPITAL DRIVE PO BOX 1817","LEXINGTON","NC","27293","DAVIDSON","3362485161","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","100","$14,966","$13,304","$16,745","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340096","LEXINGTON MEMORIAL HOSPITAL INC","250 HOSPITAL DRIVE PO BOX 1817","LEXINGTON","NC","27293","DAVIDSON","3362485161","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","111","$23,540","$22,032","$25,113","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340096","LEXINGTON MEMORIAL HOSPITAL INC","250 HOSPITAL DRIVE PO BOX 1817","LEXINGTON","NC","27293","DAVIDSON","3362485161","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","183","$16,118","$14,740","$17,495","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340097","HUGH CHATHAM MEMORIAL HOSPITAL","180 PARKWOOD DR","ELKIN","NC","28621","SURRY","3365277000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","58","$22,335","$19,760","$25,241","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340097","HUGH CHATHAM MEMORIAL HOSPITAL","180 PARKWOOD DR","ELKIN","NC","28621","SURRY","3365277000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","171","$15,577","$14,195","$17,078","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340097","HUGH CHATHAM MEMORIAL HOSPITAL","180 PARKWOOD DR","ELKIN","NC","28621","SURRY","3365277000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","142","$22,494","$21,265","$23,834","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340097","HUGH CHATHAM MEMORIAL HOSPITAL","180 PARKWOOD DR","ELKIN","NC","28621","SURRY","3365277000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","366","$16,669","$15,610","$17,717","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340098","CAROLINAS HEALTHCARE SYSTEM PINEVILLE","10628 PARK RD","CHARLOTTE","NC","28210","MECKLENBURG","7043795000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","317","$19,767","$18,467","$21,154","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340098","CAROLINAS HEALTHCARE SYSTEM PINEVILLE","10628 PARK RD","CHARLOTTE","NC","28210","MECKLENBURG","7043795000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","570","$15,477","$14,655","$16,384","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340098","CAROLINAS HEALTHCARE SYSTEM PINEVILLE","10628 PARK RD","CHARLOTTE","NC","28210","MECKLENBURG","7043795000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","985","$23,186","$22,659","$23,731","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340098","CAROLINAS HEALTHCARE SYSTEM PINEVILLE","10628 PARK RD","CHARLOTTE","NC","28210","MECKLENBURG","7043795000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","835","$17,075","$16,377","$17,802","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340099","VIDANT ROANOKE CHOWAN HOSPITAL","500 S ACADEMY ST","AHOSKIE","NC","27910","HERTFORD","2522093000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","33","$23,464","$20,295","$26,885","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340099","VIDANT ROANOKE CHOWAN HOSPITAL","500 S ACADEMY ST","AHOSKIE","NC","27910","HERTFORD","2522093000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","234","$15,244","$14,049","$16,555","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340099","VIDANT ROANOKE CHOWAN HOSPITAL","500 S ACADEMY ST","AHOSKIE","NC","27910","HERTFORD","2522093000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","81","$21,455","$19,938","$23,051","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340099","VIDANT ROANOKE CHOWAN HOSPITAL","500 S ACADEMY ST","AHOSKIE","NC","27910","HERTFORD","2522093000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","346","$17,174","$16,088","$18,317","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340106","SANDHILLS REGIONAL MEDICAL CENTER","1000 WEST HAMLET AVENUE","HAMLET","NC","28345","RICHMOND","9109582361","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340106","SANDHILLS REGIONAL MEDICAL CENTER","1000 WEST HAMLET AVENUE","HAMLET","NC","28345","RICHMOND","9109582361","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","92","$13,927","$12,336","$15,605","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340106","SANDHILLS REGIONAL MEDICAL CENTER","1000 WEST HAMLET AVENUE","HAMLET","NC","28345","RICHMOND","9109582361","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2013","03/31/2016"
"340106","SANDHILLS REGIONAL MEDICAL CENTER","1000 WEST HAMLET AVENUE","HAMLET","NC","28345","RICHMOND","9109582361","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","68","$14,155","$12,283","$15,851","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","TARBORO","NC","27886","EDGECOMBE","2526417700","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","56","$24,176","$21,414","$27,418","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","TARBORO","NC","27886","EDGECOMBE","2526417700","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","367","$16,384","$15,311","$17,531","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","TARBORO","NC","27886","EDGECOMBE","2526417700","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","60","$25,594","$23,285","$27,983","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","TARBORO","NC","27886","EDGECOMBE","2526417700","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","306","$17,307","$16,166","$18,460","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340109","SENTARA ALBEMARLE MEDICAL CENTER","1144 N ROAD ST","ELIZABETH CITY","NC","27909","PASQUOTANK","2523350531","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","178","$22,398","$20,509","$24,336","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340109","SENTARA ALBEMARLE MEDICAL CENTER","1144 N ROAD ST","ELIZABETH CITY","NC","27909","PASQUOTANK","2523350531","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","364","$16,510","$15,450","$17,692","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340109","SENTARA ALBEMARLE MEDICAL CENTER","1144 N ROAD ST","ELIZABETH CITY","NC","27909","PASQUOTANK","2523350531","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","103","$22,532","$21,052","$24,164","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340109","SENTARA ALBEMARLE MEDICAL CENTER","1144 N ROAD ST","ELIZABETH CITY","NC","27909","PASQUOTANK","2523350531","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","406","$16,966","$15,991","$17,975","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","470","$21,863","$20,638","$23,169","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","763","$15,441","$14,717","$16,195","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","1,616","$19,880","$19,529","$20,235","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","747","$16,562","$15,797","$17,295","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340114","REX HOSPITAL","4420 LAKE BOONE TRAIL","RALEIGH","NC","27607","WAKE","9197843100","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","848","$20,608","$19,746","$21,553","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340114","REX HOSPITAL","4420 LAKE BOONE TRAIL","RALEIGH","NC","27607","WAKE","9197843100","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","981","$15,637","$14,942","$16,311","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340114","REX HOSPITAL","4420 LAKE BOONE TRAIL","RALEIGH","NC","27607","WAKE","9197843100","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","1,376","$20,284","$19,917","$20,681","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Better complications and lower payment","","04/01/2013","03/31/2016"
"340114","REX HOSPITAL","4420 LAKE BOONE TRAIL","RALEIGH","NC","27607","WAKE","9197843100","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","1,028","$17,162","$16,497","$17,796","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","PINEHURST","NC","28374","MOORE","9107151000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","582","$19,310","$18,365","$20,347","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","PINEHURST","NC","28374","MOORE","9107151000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","1,108","$15,370","$14,778","$15,999","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","PINEHURST","NC","28374","MOORE","9107151000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","1,573","$20,439","$20,078","$20,822","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","PINEHURST","NC","28374","MOORE","9107151000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","1,284","$15,098","$14,570","$15,587","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Better mortality and lower payment","","07/01/2013","06/30/2016"
"340116","FRYE REGIONAL MEDICAL CENTER","420 N CENTER ST","HICKORY","NC","28601","CATAWBA","8283226070","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","350","$22,399","$20,964","$23,950","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340116","FRYE REGIONAL MEDICAL CENTER","420 N CENTER ST","HICKORY","NC","28601","CATAWBA","8283226070","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","286","$15,308","$14,232","$16,502","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340116","FRYE REGIONAL MEDICAL CENTER","420 N CENTER ST","HICKORY","NC","28601","CATAWBA","8283226070","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","352","$21,687","$20,904","$22,454","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340116","FRYE REGIONAL MEDICAL CENTER","420 N CENTER ST","HICKORY","NC","28601","CATAWBA","8283226070","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","704","$16,091","$15,324","$16,827","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and lower payment","","07/01/2013","06/30/2016"
"340119","CAROLINAS HEALTHCARE SYSTEM STANLY","301 YADKIN ST","ALBEMARLE","NC","28001","STANLY","7049844000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","102","$23,544","$21,307","$26,153","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340119","CAROLINAS HEALTHCARE SYSTEM STANLY","301 YADKIN ST","ALBEMARLE","NC","28001","STANLY","7049844000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","300","$16,173","$15,027","$17,404","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340119","CAROLINAS HEALTHCARE SYSTEM STANLY","301 YADKIN ST","ALBEMARLE","NC","28001","STANLY","7049844000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","93","$19,822","$18,565","$21,157","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340119","CAROLINAS HEALTHCARE SYSTEM STANLY","301 YADKIN ST","ALBEMARLE","NC","28001","STANLY","7049844000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","370","$17,567","$16,476","$18,578","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340120","VIDANT DUPLIN  HOSPITAL","401 N MAIN ST","KENANSVILLE","NC","28349","DUPLIN","9102960941","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","39","$23,622","$20,681","$27,052","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340120","VIDANT DUPLIN  HOSPITAL","401 N MAIN ST","KENANSVILLE","NC","28349","DUPLIN","9102960941","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","140","$13,220","$11,918","$14,582","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340120","VIDANT DUPLIN  HOSPITAL","401 N MAIN ST","KENANSVILLE","NC","28349","DUPLIN","9102960941","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2013","03/31/2016"
"340120","VIDANT DUPLIN  HOSPITAL","401 N MAIN ST","KENANSVILLE","NC","28349","DUPLIN","9102960941","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","188","$16,430","$15,011","$17,759","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","ASHEBORO","NC","27204","RANDOLPH","3366255151","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","38","$23,619","$20,703","$27,196","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","ASHEBORO","NC","27204","RANDOLPH","3366255151","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","165","$15,815","$14,369","$17,322","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","ASHEBORO","NC","27204","RANDOLPH","3366255151","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","86","$21,386","$19,883","$22,969","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","ASHEBORO","NC","27204","RANDOLPH","3366255151","Payment for pneumonia patients","PAYM_30_PN","Greater than the National Average Payment","473","$18,413","$17,363","$19,429","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and higher payment","","07/01/2013","06/30/2016"
